Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"setEncryptedText(findTestObject(""Object Repository/Page_Sign In with Auth0/input_or_password""), ""o6CDTymj93o="")",Chrome 73.0.3683.86,,2019-04-09 21:34:06,2019-04-09 21:34:06,0.119s,PASSED
"click(findTestObject(""Object Repository/Page_Sign In with Auth0/span_Log In""))",Chrome 73.0.3683.86,,2019-04-09 21:34:06,2019-04-09 21:34:06,0.134s,PASSED
"verifyElementPresent(findTestObject(""Page_Sign In with Auth0/span_Wrong email or password""), 5)",Chrome 73.0.3683.86,,2019-04-09 21:34:06,2019-04-09 21:34:07,0.577s,PASSED
closeBrowser(),Chrome 73.0.3683.86,,2019-04-09 21:34:07,2019-04-09 21:34:07,0.650s,PASSED
,,,,,,
Test Cases/Authentication/DevLoginPass,Chrome 73.0.3683.86,,2019-04-09 21:34:07,2019-04-09 21:34:17,10.227s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-04-09 21:34:07,2019-04-09 21:34:10,2.176s,PASSED
"navigateToUrl(""http://localhost:3000/"")",Chrome 73.0.3683.86,,2019-04-09 21:34:10,2019-04-09 21:34:10,0.827s,PASSED
"click(findTestObject(""Object Repository/Page_Conductor Support Ticket/button_Login""))",Chrome 73.0.3683.86,,2019-04-09 21:34:10,2019-04-09 21:34:12,1.548s,PASSED
"verifyElementPresent(findTestObject(""Page_Sign In with Auth0/input_or_password""), 5)",Chrome 73.0.3683.86,,2019-04-09 21:34:12,2019-04-09 21:34:12,0.534s,PASSED
delay(1),Chrome 73.0.3683.86,,2019-04-09 21:34:12,2019-04-09 21:34:13,1.003s,PASSED
"setText(findTestObject(""Page_Sign In with Auth0/input_or_email""), ""dev@conductor.com"")",Chrome 73.0.3683.86,,2019-04-09 21:34:13,2019-04-09 21:34:14,0.320s,PASSED
"setEncryptedText(findTestObject(""Page_Sign In with Auth0/input_or_password""), ""zjPxhPuRQFuVYAs0Abtybw=="")",Chrome 73.0.3683.86,,2019-04-09 21:34:14,2019-04-09 21:34:14,0.178s,PASSED
"click(findTestObject(""Page_Sign In with Auth0/span_Log In""))",Chrome 73.0.3683.86,,2019-04-09 21:34:14,2019-04-09 21:34:14,0.162s,PASSED
"verifyElementPresent(findTestObject(""Page_Conductor Support Ticket/button_Logout""), 5)",Chrome 73.0.3683.86,,2019-04-09 21:34:14,2019-04-09 21:34:17,2.695s,PASSED
closeBrowser(),Chrome 73.0.3683.86,,2019-04-09 21:34:17,2019-04-09 21:34:17,0.638s,PASSED
,,,,,,
Test Cases/Authentication/DevWrongPasswordFail,Chrome 73.0.3683.86,,2019-04-09 21:34:17,2019-04-09 21:34:25,7.866s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-04-09 21:34:18,2019-04-09 21:34:20,2.144s,PASSED
"navigateToUrl(""http://localhost:3000/"")",Chrome 73.0.3683.86,,2019-04-09 21:34:20,2019-04-09 21:34:21,0.781s,PASSED
"click(findTestObject(""Page_Conductor Support Ticket/button_Login""))",Chrome 73.0.3683.86,,2019-04-09 21:34:21,2019-04-09 21:34:22,1.431s,PASSED
"verifyElementPresent(findTestObject(""Page_Sign In with Auth0/input_or_password""), 5)",Chrome 73.0.3683.86,,2019-04-09 21:34:22,2019-04-09 21:34:23,0.544s,PASSED
delay(1),Chrome 73.0.3683.86,,2019-04-09 21:34:23,2019-04-09 21:34:24,1.003s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign In with Auth0/input_or_email""), ""tester@conductor.com"")",Chrome 73.0.3683.86,,2019-04-09 21:34:24,2019-04-09 21:34:24,0.317s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Sign In with Auth0/input_or_password""), ""o6CDTymj93o="")",Chrome 73.0.3683.86,,2019-04-09 21:34:24,2019-04-09 21:34:24,0.129s,PASSED
"click(findTestObject(""Object Repository/Page_Sign In with Auth0/span_Log In""))",Chrome 73.0.3683.86,,2019-04-09 21:34:24,2019-04-09 21:34:24,0.092s,PASSED
"verifyElementPresent(findTestObject(""Page_Sign In with Auth0/span_Wrong email or password""), 5)",Chrome 73.0.3683.86,,2019-04-09 21:34:24,2019-04-09 21:34:25,0.551s,PASSED
closeBrowser(),Chrome 73.0.3683.86,,2019-04-09 21:34:25,2019-04-09 21:34:25,0.738s,PASSED
,,,,,,
Test Cases/Authentication/TesterLoginPass,Chrome 73.0.3683.86,,2019-04-09 21:34:25,2019-04-09 21:34:35,10.108s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-04-09 21:34:25,2019-04-09 21:34:28,2.318s,PASSED
"navigateToUrl(""http://localhost:3000/"")",Chrome 73.0.3683.86,,2019-04-09 21:34:28,2019-04-09 21:34:29,0.716s,PASSED
"click(findTestObject(""Object Repository/Page_Conductor Support Ticket/button_Login""))",Chrome 73.0.3683.86,,2019-04-09 21:34:29,2019-04-09 21:34:30,1.661s,PASSED
"verifyElementPresent(findTestObject(""Page_Sign In with Auth0/input_or_password""), 5)",Chrome 73.0.3683.86,,2019-04-09 21:34:30,2019-04-09 21:34:31,0.579s,PASSED
delay(1),Chrome 73.0.3683.86,,2019-04-09 21:34:31,2019-04-09 21:34:32,1.001s,PASSED
"setText(findTestObject(""Page_Sign In with Auth0/input_or_email""), ""dev@conductor.com"")",Chrome 73.0.3683.86,,2019-04-09 21:34:32,2019-04-09 21:34:32,0.283s,PASSED
"setEncryptedText(findTestObject(""Page_Sign In with Auth0/input_or_password""), ""zjPxhPuRQFuVYAs0Abtybw=="")",Chrome 73.0.3683.86,,2019-04-09 21:34:32,2019-04-09 21:34:32,0.164s,PASSED
"click(findTestObject(""Page_Sign In with Auth0/span_Log In""))",Chrome 73.0.3683.86,,2019-04-09 21:34:32,2019-04-09 21:34:32,0.080s,PASSED
"verifyElementPresent(findTestObject(""Page_Conductor Support Ticket/button_Logout""), 5)",Chrome 73.0.3683.86,,2019-04-09 21:34:32,2019-04-09 21:34:35,2.555s,PASSED
closeBrowser(),Chrome 73.0.3683.86,,2019-04-09 21:34:35,2019-04-09 21:34:35,0.629s,PASSED
,,,,,,
Test Cases/Authentication/TesterWrongPasswordFail,Chrome 73.0.3683.86,,2019-04-09 21:34:35,2019-04-09 21:34:44,8.081s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-04-09 21:34:36,2019-04-09 21:34:38,2.187s,PASSED
"navigateToUrl(""http://localhost:3000/"")",Chrome 73.0.3683.86,,2019-04-09 21:34:38,2019-04-09 21:34:39,0.749s,PASSED
"click(findTestObject(""Page_Conductor Support Ticket/button_Login""))",Chrome 73.0.3683.86,,2019-04-09 21:34:39,2019-04-09 21:34:40,1.566s,PASSED
"verifyElementPresent(findTestObject(""Page_Sign In with Auth0/input_or_password""), 5)",Chrome 73.0.3683.86,,2019-04-09 21:34:40,2019-04-09 21:34:41,0.580s,PASSED
delay(1),Chrome 73.0.3683.86,,2019-04-09 21:34:41,2019-04-09 21:34:42,1.002s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign In with Auth0/input_or_email""), ""ba@conductor.com"")",Chrome 73.0.3683.86,,2019-04-09 21:34:42,2019-04-09 21:34:42,0.382s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Sign In with Auth0/input_or_password""), ""o6CDTymj93o="")",Chrome 73.0.3683.86,,2019-04-09 21:34:42,2019-04-09 21:34:42,0.199s,PASSED
"click(findTestObject(""Object Repository/Page_Sign In with Auth0/span_Log In""))",Chrome 73.0.3683.86,,2019-04-09 21:34:42,2019-04-09 21:34:42,0.080s,PASSED
"verifyElementPresent(findTestObject(""Page_Sign In with Auth0/span_Wrong email or password""), 5)",Chrome 73.0.3683.86,,2019-04-09 21:34:42,2019-04-09 21:34:43,0.544s,PASSED
closeBrowser(),Chrome 73.0.3683.86,,2019-04-09 21:34:43,2019-04-09 21:34:44,0.632s,PASSED
